Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Role played by Owner or Manager in Facility,Owner Type,Owner Name,Ownership Percentage,Association Date,Location,Processing Date
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"LV OPERATIONS II, LLC",NO PERCENTAGE PROVIDED,since 02/01/2012,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"MCP LAVIE, LLC",NO PERCENTAGE PROVIDED,since 01/21/2020,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SALCON HOLDCO, LLC",NO PERCENTAGE PROVIDED,since 01/21/2020,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SAY LA VIE, LLC",NO PERCENTAGE PROVIDED,since 01/21/2020,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SENIOR CARE LAVIE, LLC",NO PERCENTAGE PROVIDED,since 01/21/2020,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"TRECON HOLDCO, LLC",NO PERCENTAGE PROVIDED,since 01/21/2020,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,OPERATIONAL/MANAGERIAL CONTROL,Organization,"CMC II, LLC",NOT APPLICABLE,since 03/01/2012,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,OPERATIONAL/MANAGERIAL CONTROL,Individual,"BRYSON, CHRISTOPHER",NOT APPLICABLE,since 09/01/2015,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,OPERATIONAL/MANAGERIAL CONTROL,Individual,"DIAS, DANIEL",NOT APPLICABLE,since 09/01/2015,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,OPERATIONAL/MANAGERIAL CONTROL,Individual,"HAYES, GREGORY",NOT APPLICABLE,since 09/01/2019,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,OPERATIONAL/MANAGERIAL CONTROL,Individual,"USSERY, KENNETH",NOT APPLICABLE,since 09/01/2015,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,OFFICER,Individual,"BRYSON, CHRISTOPHER",NOT APPLICABLE,since 12/14/2015,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,OFFICER,Individual,"DIAS, DANIEL",NOT APPLICABLE,since 12/14/2015,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,OFFICER,Individual,"HAYES, GREGORY",NOT APPLICABLE,since 09/01/2019,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,OFFICER,Individual,"USSERY, KENNETH",NOT APPLICABLE,since 12/14/2015,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105495,HILLCREST HEALTH CARE AND REHABILITATION CENTER,4200 WASHINGTON ST,HOLLYWOOD,FL,33021,MANAGING EMPLOYEE,Individual,"JORGENSEN, SONJA",NOT APPLICABLE,since 09/14/2020,"4200 WASHINGTON ST,HOLLYWOOD,FL,33021",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"HCR III HEALTHCARE, LLC",1,since 12/21/2007,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HCR HEALTHCARE, LLC",NO PERCENTAGE PROVIDED,since 12/21/2007,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HCR II HEALTHCARE, LLC",NO PERCENTAGE PROVIDED,since 12/21/2007,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HCR MANORCARE, INC.",NO PERCENTAGE PROVIDED,since 07/26/2018,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"PROMEDICA HEALTH SYSTEM, INC",NO PERCENTAGE PROVIDED,since 07/26/2018,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,OPERATIONAL/MANAGERIAL CONTROL,Organization,HCR MANOR CARE SERVICES LLC,NOT APPLICABLE,since 12/21/2007,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,OPERATIONAL/MANAGERIAL CONTROL,Individual,"ALLEN, MARTIN",NOT APPLICABLE,since 09/22/2017,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,DIRECTOR,Individual,"ALLEN, MARTIN",NOT APPLICABLE,since 09/30/2012,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,OFFICER,Individual,"HOOPS, KATHRYN",NOT APPLICABLE,since 11/07/2007,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,OFFICER,Individual,"KILE, THOMAS",NOT APPLICABLE,since 01/01/2019,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,OFFICER,Individual,"PILE, LUKE",NOT APPLICABLE,since 06/02/2019,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,OFFICER,Individual,"RODGERS, DAMIAN",NOT APPLICABLE,since 08/14/2020,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,MANAGING EMPLOYEE,Individual,"LEOCE, GREGORY",NOT APPLICABLE,since 11/21/2016,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,MANAGING EMPLOYEE,Individual,"SHARON, ROBERT",NOT APPLICABLE,since 09/01/2020,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,MANAGING EMPLOYEE,Individual,"SHIPMAN, DEAN",NOT APPLICABLE,since 05/01/2016,"3001 SOUTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426",44228
105497,PINEBROOK CENTER,1240 PINEBROOK ROAD,VENICE,FL,34292,Ownership Data Not Available,,,,,"1240 PINEBROOK ROAD,VENICE,FL,34292",44228
105498,SUSANNA WESLEY HEALTH CENTER,5300 W 16TH AVENUE,HIALEAH,FL,33012,OPERATIONAL/MANAGERIAL CONTROL,Organization,ALDERSGATE HEALTHCARE INC,NOT APPLICABLE,since 05/01/2008,"5300 W 16TH AVENUE,HIALEAH,FL,33012",44228
105498,SUSANNA WESLEY HEALTH CENTER,5300 W 16TH AVENUE,HIALEAH,FL,33012,OPERATIONAL/MANAGERIAL CONTROL,Individual,"ANTONACCI, NICK",NOT APPLICABLE,since 05/01/2008,"5300 W 16TH AVENUE,HIALEAH,FL,33012",44228
105498,SUSANNA WESLEY HEALTH CENTER,5300 W 16TH AVENUE,HIALEAH,FL,33012,DIRECTOR,Individual,"ANTONACCI, NICK",NOT APPLICABLE,since 05/01/2008,"5300 W 16TH AVENUE,HIALEAH,FL,33012",44228
105498,SUSANNA WESLEY HEALTH CENTER,5300 W 16TH AVENUE,HIALEAH,FL,33012,OFFICER,Individual,"DELGADO, MARTHA",NOT APPLICABLE,since 10/13/2008,"5300 W 16TH AVENUE,HIALEAH,FL,33012",44228
105498,SUSANNA WESLEY HEALTH CENTER,5300 W 16TH AVENUE,HIALEAH,FL,33012,MANAGING EMPLOYEE,Individual,"DELGADO, MARTHA",NOT APPLICABLE,since 10/13/2008,"5300 W 16TH AVENUE,HIALEAH,FL,33012",44228
105499,PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"HCR HEALTHCARE, LLC",1,since 12/21/2007,"6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113",44228
105499,PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HCR MANORCARE, INC.",NO PERCENTAGE PROVIDED,since 07/26/2018,"6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113",44228
105499,PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"PROMEDICA HEALTH SYSTEM, INC",NO PERCENTAGE PROVIDED,since 07/26/2018,"6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113",44228
105499,PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113,OPERATIONAL/MANAGERIAL CONTROL,Organization,HCR MANOR CARE SERVICES LLC,NOT APPLICABLE,since 11/05/2007,"6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113",44228
105499,PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113,OPERATIONAL/MANAGERIAL CONTROL,Individual,"ALLEN, MARTIN",NOT APPLICABLE,since 09/22/2017,"6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113",44228
105499,PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113,DIRECTOR,Individual,"ALLEN, MARTIN",NOT APPLICABLE,since 09/30/2012,"6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113",44228
105499,PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113,OFFICER,Individual,"ALLEN, MARTIN",NOT APPLICABLE,since 09/30/2012,"6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113",44228
105499,PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113,OFFICER,Individual,"HOOPS, KATHRYN",NOT APPLICABLE,since 11/07/2007,"6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113",44228
105499,PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113,OFFICER,Individual,"KILE, THOMAS",NOT APPLICABLE,since 01/01/2019,"6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113",44228
105499,PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113,OFFICER,Individual,"RODGERS, DAMIAN",NOT APPLICABLE,since 08/14/2020,"6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113",44228
105499,PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113,MANAGING EMPLOYEE,Individual,"SHARON, ROBERT",NOT APPLICABLE,since 09/01/2020,"6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113",44228
105499,PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113,MANAGING EMPLOYEE,Individual,"SHIPMAN, DEAN",NOT APPLICABLE,since 05/01/2016,"6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113",44228
105499,PROMEDICA SKILLED NURSING AND REHABILITATION (LELY,6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113,MANAGING EMPLOYEE,Individual,"SMITH, DUANE",NOT APPLICABLE,since 05/30/2018,"6135 RATTLESNAKE HAMMOCK ROAD,NAPLES,FL,34113",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,SNH PROJ LINCOLN TRS LLC,1,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,BLACKROCK INC,NO PERCENTAGE PROVIDED,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,DIVERSIFIED HEALTHCARE TRUST,NO PERCENTAGE PROVIDED,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SNH TRS LICENSEE HOLDCO LLC,NO PERCENTAGE PROVIDED,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SNH TRS, INC.",NO PERCENTAGE PROVIDED,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,VANGUARD GROUP INC,NO PERCENTAGE PROVIDED,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,OPERATIONAL/MANAGERIAL CONTROL,Organization,FIVE STAR SENIOR LIVING INC.,NOT APPLICABLE,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,OPERATIONAL/MANAGERIAL CONTROL,Organization,"FVE MANAGERS, INC.",NOT APPLICABLE,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,DIRECTOR,Individual,"CLARK, JENNIFER",NOT APPLICABLE,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,DIRECTOR,Individual,"PORTNOY, ADAM",NOT APPLICABLE,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,OFFICER,Individual,"ANDERSON, JACQUELYN",NOT APPLICABLE,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,OFFICER,Individual,"CLARK, JENNIFER",NOT APPLICABLE,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,OFFICER,Individual,"MINTZER, JENNIFER",NOT APPLICABLE,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,OFFICER,Individual,"SIEDEL, RICHARD",NOT APPLICABLE,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,MANAGING EMPLOYEE,Individual,"LEVIT, NANCY",NOT APPLICABLE,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,MANAGING EMPLOYEE,Individual,"ORMOS, DEBRA",NOT APPLICABLE,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,MANAGING EMPLOYEE,Individual,"POTTER, KATHERINE",NOT APPLICABLE,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105503,PARK SUMMIT AT CORAL SPRINGS,8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065,MANAGING EMPLOYEE,Individual,"RULE, STEVEN",NOT APPLICABLE,since 01/01/2020,"8500 ROYAL PALM BLVD,CORAL SPRINGS,FL,33065",44228
105504,MARION AND BERNARD L SAMSON NURSING CENTER,255 59TH ST N,SAINT PETERSBURG,FL,33710,OFFICER,Individual,"GOLDSTEIN, ROBERT",NOT APPLICABLE,since 01/01/2015,"255 59TH ST N,SAINT PETERSBURG,FL,33710",44228
105504,MARION AND BERNARD L SAMSON NURSING CENTER,255 59TH ST N,SAINT PETERSBURG,FL,33710,OFFICER,Individual,"PERRYMAN, DONNA",NOT APPLICABLE,since 12/18/2013,"255 59TH ST N,SAINT PETERSBURG,FL,33710",44228
105504,MARION AND BERNARD L SAMSON NURSING CENTER,255 59TH ST N,SAINT PETERSBURG,FL,33710,MANAGING EMPLOYEE,Individual,"PERRYMAN, DONNA",NOT APPLICABLE,since 12/18/2013,"255 59TH ST N,SAINT PETERSBURG,FL,33710",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"HUD FACILITIES, LLC",1,since 11/01/2008,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"BARROW STREET REAL ESTATE FUND III, LP",NO PERCENTAGE PROVIDED,since 06/30/2010,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,BSREF III PARALLEL INVESTOR  II LP,NO PERCENTAGE PROVIDED,since 06/30/2010,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,BSREF III PARALLEL INVESTOR I LLC,NO PERCENTAGE PROVIDED,since 06/30/2010,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,BSREF III PARALLEL INVESTOR III LP,NO PERCENTAGE PROVIDED,since 06/30/2010,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GCH MANAGEMENT SERVICES LLC,NO PERCENTAGE PROVIDED,since 11/01/2008,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GULF COAST HEALTH CARE HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 06/30/2010,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GULF COAST HEALTH CARE LLC,NO PERCENTAGE PROVIDED,since 11/01/2008,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,HS DELTA GST TRUST #2,NO PERCENTAGE PROVIDED,since 06/30/2010,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,JS DELTA GST TRUST,NO PERCENTAGE PROVIDED,since 06/30/2010,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SOUTHEAST US HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 06/30/2010,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,OFFICER,Individual,"BARNETT, BRETT",NOT APPLICABLE,since 08/01/2019,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,OFFICER,Individual,"WOLF, SHERYL",NOT APPLICABLE,since 09/01/2015,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,MANAGING EMPLOYEE,Individual,"LANGLAIS, HEATHER",NOT APPLICABLE,since 11/30/2015,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105505,MARGATE HEALTH AND REHABILITATION CENTER,5951 COLONIAL DRIVE,MARGATE,FL,33063,MANAGING EMPLOYEE,Individual,"MUSTASAM, ARVA",NOT APPLICABLE,since 09/21/2020,"5951 COLONIAL DRIVE,MARGATE,FL,33063",44228
105506,ENCORE AT BOCA RATON REHABILITATION AND NURSING CE,7300 DEL PRADO CIRCLE SOUTH,BOCA RATON,FL,33433,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,FLORIDA VENTURES B LLC,1,since 08/17/2017,"7300 DEL PRADO CIRCLE SOUTH,BOCA RATON,FL,33433",44228
105506,ENCORE AT BOCA RATON REHABILITATION AND NURSING CE,7300 DEL PRADO CIRCLE SOUTH,BOCA RATON,FL,33433,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"EINHORN, NEAL",0.4,since 01/01/2018,"7300 DEL PRADO CIRCLE SOUTH,BOCA RATON,FL,33433",44228
105506,ENCORE AT BOCA RATON REHABILITATION AND NURSING CE,7300 DEL PRADO CIRCLE SOUTH,BOCA RATON,FL,33433,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"FRIEDMAN, MARK",0.4,since 01/01/2018,"7300 DEL PRADO CIRCLE SOUTH,BOCA RATON,FL,33433",44228
